location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Jersey,2021-07-07,0-17,0.0,0.0
Jersey,2021-07-07,18-29,55.0,10.0
Jersey,2021-07-07,30-39,69.0,36.0
Jersey,2021-07-07,40-49,82.0,72.0
Jersey,2021-07-07,50-54,90.0,88.0
Jersey,2021-07-07,55-59,97.0,94.0
Jersey,2021-07-07,60-64,99.0,97.0
Jersey,2021-07-07,65-69,93.0,92.0
Jersey,2021-07-07,70-74,98.0,97.0
Jersey,2021-07-07,75-79,100.0,99.0
Jersey,2021-07-07,80+,100.0,100.0
Jersey,2021-07-11,0-17,1.0,1.0
Jersey,2021-07-11,18-29,58.0,10.0
Jersey,2021-07-11,30-39,70.0,43.0
Jersey,2021-07-11,40-49,83.0,73.0
Jersey,2021-07-11,50-54,90.0,86.0
Jersey,2021-07-11,55-59,97.0,94.0
Jersey,2021-07-11,60-64,99.0,97.0
Jersey,2021-07-11,65-69,93.0,92.0
Jersey,2021-07-11,70-74,98.0,97.0
Jersey,2021-07-11,75-79,100.0,100.0
Jersey,2021-07-11,80+,100.0,100.0
Jersey,2021-07-14,0-17,1.0,1.0
Jersey,2021-07-14,18-29,59.0,11.0
Jersey,2021-07-14,30-39,71.0,51.0
Jersey,2021-07-14,40-49,83.0,75.0
Jersey,2021-07-14,50-54,90.0,86.0
Jersey,2021-07-14,55-59,97.0,94.0
Jersey,2021-07-14,60-64,99.0,97.0
Jersey,2021-07-14,65-69,93.0,92.0
Jersey,2021-07-14,70-74,98.0,97.0
Jersey,2021-07-14,75-79,100.0,100.0
Jersey,2021-07-14,80+,100.0,100.0
Latvia,2021-01-08,18-24,0.31,0.0
Latvia,2021-01-08,25-49,0.54,0.0
Latvia,2021-01-08,50-59,0.66,0.0
Latvia,2021-01-08,60-69,0.49,0.0
Latvia,2021-01-08,70-79,0.11,0.0
Latvia,2021-01-08,80+,0.02,0.0
Latvia,2021-01-15,18-24,0.69,0.0
Latvia,2021-01-15,25-49,1.16,0.0
Latvia,2021-01-15,50-59,1.54,0.0
Latvia,2021-01-15,60-69,1.23,0.0
Latvia,2021-01-15,70-79,0.35,0.0
Latvia,2021-01-15,80+,0.08,0.0
Latvia,2021-01-22,18-24,0.74,0.1
Latvia,2021-01-22,25-49,1.23,0.19
Latvia,2021-01-22,50-59,1.63,0.18
Latvia,2021-01-22,60-69,1.29,0.11
Latvia,2021-01-22,70-79,0.38,0.03
Latvia,2021-01-22,80+,0.08,0.0
Latvia,2021-01-29,18-24,0.76,0.29
Latvia,2021-01-29,25-49,1.25,0.52
Latvia,2021-01-29,50-59,1.65,0.64
Latvia,2021-01-29,60-69,1.31,0.47
Latvia,2021-01-29,70-79,0.38,0.11
Latvia,2021-01-29,80+,0.08,0.02
Latvia,2021-02-05,18-24,0.77,0.62
Latvia,2021-02-05,25-49,1.29,1.04
Latvia,2021-02-05,50-59,1.73,1.42
Latvia,2021-02-05,60-69,1.38,1.13
Latvia,2021-02-05,70-79,0.4,0.31
Latvia,2021-02-05,80+,0.09,0.06
Latvia,2021-02-12,18-24,0.98,0.7
Latvia,2021-02-12,25-49,1.49,1.19
Latvia,2021-02-12,50-59,2.0,1.57
Latvia,2021-02-12,60-69,1.65,1.26
Latvia,2021-02-12,70-79,0.54,0.36
Latvia,2021-02-12,80+,0.26,0.08
Latvia,2021-02-19,18-24,1.16,0.73
Latvia,2021-02-19,25-49,1.82,1.23
Latvia,2021-02-19,50-59,2.59,1.62
Latvia,2021-02-19,60-69,2.27,1.29
Latvia,2021-02-19,70-79,1.45,0.38
Latvia,2021-02-19,80+,1.42,0.08
Latvia,2021-02-26,18-24,1.49,0.74
Latvia,2021-02-26,25-49,2.09,1.24
Latvia,2021-02-26,50-59,3.01,1.64
Latvia,2021-02-26,60-69,2.87,1.31
Latvia,2021-02-26,70-79,6.06,0.38
Latvia,2021-02-26,80+,5.08,0.08
Latvia,2021-03-05,18-24,1.63,0.78
Latvia,2021-03-05,25-49,2.26,1.3
Latvia,2021-03-05,50-59,3.34,1.74
Latvia,2021-03-05,60-69,3.47,1.41
Latvia,2021-03-05,70-79,11.76,0.41
Latvia,2021-03-05,80+,10.0,0.09
Latvia,2021-03-12,18-24,1.74,0.78
Latvia,2021-03-12,25-49,2.38,1.31
Latvia,2021-03-12,50-59,3.59,1.75
Latvia,2021-03-12,60-69,4.11,1.42
Latvia,2021-03-12,70-79,16.26,0.42
Latvia,2021-03-12,80+,13.81,0.09
Latvia,2021-03-19,18-24,1.76,0.82
Latvia,2021-03-19,25-49,2.42,1.36
Latvia,2021-03-19,50-59,3.65,1.81
Latvia,2021-03-19,60-69,4.31,1.46
Latvia,2021-03-19,70-79,17.73,0.52
Latvia,2021-03-19,80+,14.94,0.16
Latvia,2021-03-26,18-24,1.89,0.9
Latvia,2021-03-26,25-49,2.68,1.43
Latvia,2021-03-26,50-59,4.37,1.92
Latvia,2021-03-26,60-69,6.23,1.56
Latvia,2021-03-26,70-79,22.76,1.25
Latvia,2021-03-26,80+,18.85,0.73
Latvia,2021-04-02,18-24,2.13,0.96
Latvia,2021-04-02,25-49,3.17,1.5
Latvia,2021-04-02,50-59,5.56,2.03
Latvia,2021-04-02,60-69,8.67,1.71
Latvia,2021-04-02,70-79,25.56,2.04
Latvia,2021-04-02,80+,20.91,1.34
Latvia,2021-04-09,18-24,2.65,0.99
Latvia,2021-04-09,25-49,3.98,1.53
Latvia,2021-04-09,50-59,7.17,2.08
Latvia,2021-04-09,60-69,13.84,1.77
Latvia,2021-04-09,70-79,28.29,2.42
Latvia,2021-04-09,80+,23.14,1.66
Latvia,2021-04-16,18-24,4.15,1.05
Latvia,2021-04-16,25-49,5.85,1.62
Latvia,2021-04-16,50-59,9.53,2.21
Latvia,2021-04-16,60-69,17.45,1.91
Latvia,2021-04-16,70-79,29.88,2.61
Latvia,2021-04-16,80+,24.42,1.84
Latvia,2021-04-23,18-24,4.99,1.2
Latvia,2021-04-23,25-49,7.92,1.91
Latvia,2021-04-23,50-59,12.52,2.78
Latvia,2021-04-23,60-69,22.0,2.91
Latvia,2021-04-23,70-79,32.07,4.45
Latvia,2021-04-23,80+,26.01,3.3
Latvia,2021-04-30,18-24,6.44,1.53
Latvia,2021-04-30,25-49,10.8,2.25
Latvia,2021-04-30,50-59,15.99,3.4
Latvia,2021-04-30,60-69,26.21,3.91
Latvia,2021-04-30,70-79,34.43,7.9
Latvia,2021-04-30,80+,27.78,6.24
Latvia,2021-05-07,18-24,10.78,1.95
Latvia,2021-05-07,25-49,15.64,3.11
Latvia,2021-05-07,50-59,19.6,4.92
Latvia,2021-05-07,60-69,29.05,6.49
Latvia,2021-05-07,70-79,36.08,12.12
Latvia,2021-05-07,80+,29.06,9.95
Latvia,2021-05-14,18-24,16.18,2.79
Latvia,2021-05-14,25-49,21.65,4.85
Latvia,2021-05-14,50-59,24.59,7.39
Latvia,2021-05-14,60-69,32.25,10.1
Latvia,2021-05-14,70-79,38.23,17.36
Latvia,2021-05-14,80+,30.85,14.46
Latvia,2021-05-21,18-24,20.0,4.5
Latvia,2021-05-21,25-49,25.58,8.13
Latvia,2021-05-21,50-59,28.01,11.5
Latvia,2021-05-21,60-69,34.87,15.54
Latvia,2021-05-21,70-79,39.95,23.02
Latvia,2021-05-21,80+,32.22,19.12
Latvia,2021-05-28,18-24,24.34,9.16
Latvia,2021-05-28,25-49,28.85,13.51
Latvia,2021-05-28,50-59,30.85,16.2
Latvia,2021-05-28,60-69,37.04,20.48
Latvia,2021-05-28,70-79,41.48,28.47
Latvia,2021-05-28,80+,33.39,23.49
Latvia,2021-06-04,18-24,28.13,15.38
Latvia,2021-06-04,25-49,31.12,20.15
Latvia,2021-06-04,50-59,32.85,21.96
Latvia,2021-06-04,60-69,38.71,25.07
Latvia,2021-06-04,70-79,42.73,32.96
Latvia,2021-06-04,80+,34.42,27.05
Latvia,2021-06-11,18-24,31.58,19.6
Latvia,2021-06-11,25-49,33.31,24.58
Latvia,2021-06-11,50-59,34.83,26.33
Latvia,2021-06-11,60-69,40.38,30.01
Latvia,2021-06-11,70-79,43.97,36.8
Latvia,2021-06-11,80+,35.38,30.13
Latvia,2021-06-18,18-24,34.17,24.23
Latvia,2021-06-18,25-49,35.14,28.51
Latvia,2021-06-18,50-59,36.59,30.22
Latvia,2021-06-18,60-69,41.85,34.25
Latvia,2021-06-18,70-79,45.08,39.89
Latvia,2021-06-18,80+,36.23,32.58
Latvia,2021-06-25,18-24,35.0,26.41
Latvia,2021-06-25,25-49,35.76,30.12
Latvia,2021-06-25,50-59,37.15,31.82
Latvia,2021-06-25,60-69,42.34,36.12
Latvia,2021-06-25,70-79,45.43,41.04
Latvia,2021-06-25,80+,36.44,33.45
Latvia,2021-07-02,18-24,37.31,31.82
Latvia,2021-07-02,25-49,37.42,33.96
Latvia,2021-07-02,50-59,38.9,35.5
Latvia,2021-07-02,60-69,43.91,40.38
Latvia,2021-07-02,70-79,46.51,43.44
Latvia,2021-07-02,80+,37.26,35.34
Latvia,2021-07-09,18-24,39.55,35.47
Latvia,2021-07-09,25-49,39.13,36.61
Latvia,2021-07-09,50-59,40.67,37.99
Latvia,2021-07-09,60-69,45.49,42.53
Latvia,2021-07-09,70-79,47.58,44.94
Latvia,2021-07-09,80+,37.98,36.52
Latvia,2021-07-16,18-24,41.61,37.11
Latvia,2021-07-16,25-49,40.65,37.91
Latvia,2021-07-16,50-59,42.27,39.3
Latvia,2021-07-16,60-69,46.82,43.66
Latvia,2021-07-16,70-79,48.35,45.67
Latvia,2021-07-16,80+,38.51,37.09
Lithuania,2021-01-01,18-24,0.04,0.0
Lithuania,2021-01-01,25-49,0.14,0.0
Lithuania,2021-01-01,50-59,0.17,0.0
Lithuania,2021-01-01,60-69,0.1,0.0
Lithuania,2021-01-01,70-79,0.01,0.0
Lithuania,2021-01-08,18-24,0.35,0.0
Lithuania,2021-01-08,25-49,1.06,0.0
Lithuania,2021-01-08,50-59,1.77,0.0
Lithuania,2021-01-08,60-69,1.38,0.0
Lithuania,2021-01-08,70-79,0.25,0.0
Lithuania,2021-01-08,80+,0.11,0.0
Lithuania,2021-01-15,18-24,0.71,0.03
Lithuania,2021-01-15,25-49,2.02,0.08
Lithuania,2021-01-15,50-59,3.52,0.06
Lithuania,2021-01-15,60-69,2.95,0.03
Lithuania,2021-01-15,70-79,1.05,0.0
Lithuania,2021-01-15,80+,1.52,0.0
Lithuania,2021-01-22,18-24,0.8,0.14
Lithuania,2021-01-22,25-49,2.28,0.46
Lithuania,2021-01-22,50-59,3.94,0.68
Lithuania,2021-01-22,60-69,3.39,0.44
Lithuania,2021-01-22,70-79,1.3,0.06
Lithuania,2021-01-22,80+,2.37,0.0
Lithuania,2021-01-29,18-24,1.16,0.3
Lithuania,2021-01-29,25-49,2.93,0.98
Lithuania,2021-01-29,50-59,4.67,1.61
Lithuania,2021-01-29,60-69,3.95,1.23
Lithuania,2021-01-29,70-79,1.46,0.23
Lithuania,2021-01-29,80+,2.79,0.07
Lithuania,2021-02-05,18-24,1.27,0.6
Lithuania,2021-02-05,25-49,3.22,1.84
Lithuania,2021-02-05,50-59,5.11,3.18
Lithuania,2021-02-05,60-69,4.35,2.67
Lithuania,2021-02-05,70-79,1.57,0.95
Lithuania,2021-02-05,80+,3.12,1.3
Lithuania,2021-02-12,18-24,1.55,0.71
Lithuania,2021-02-12,25-49,4.03,2.11
Lithuania,2021-02-12,50-59,6.6,3.63
Lithuania,2021-02-12,60-69,5.54,3.11
Lithuania,2021-02-12,70-79,1.82,1.19
Lithuania,2021-02-12,80+,3.49,2.09
Lithuania,2021-02-19,18-24,1.7,1.05
Lithuania,2021-02-19,25-49,4.49,2.73
Lithuania,2021-02-19,50-59,7.57,4.35
Lithuania,2021-02-19,60-69,6.45,3.69
Lithuania,2021-02-19,70-79,2.84,1.38
Lithuania,2021-02-19,80+,8.79,2.52
Lithuania,2021-02-26,18-24,1.77,1.15
Lithuania,2021-02-26,25-49,4.67,2.96
Lithuania,2021-02-26,50-59,8.0,4.71
Lithuania,2021-02-26,60-69,7.55,4.02
Lithuania,2021-02-26,70-79,7.91,1.46
Lithuania,2021-02-26,80+,22.83,2.79
Lithuania,2021-03-05,18-24,1.86,1.31
Lithuania,2021-03-05,25-49,4.82,3.29
Lithuania,2021-03-05,50-59,8.3,5.7
Lithuania,2021-03-05,60-69,8.89,5.16
Lithuania,2021-03-05,70-79,17.73,1.68
Lithuania,2021-03-05,80+,31.57,3.15
Lithuania,2021-03-12,18-24,1.94,1.39
Lithuania,2021-03-12,25-49,4.94,3.42
Lithuania,2021-03-12,50-59,8.52,6.23
Lithuania,2021-03-12,60-69,11.66,5.84
Lithuania,2021-03-12,70-79,28.47,2.39
Lithuania,2021-03-12,80+,35.04,6.52
Lithuania,2021-03-19,18-24,1.96,1.42
Lithuania,2021-03-19,25-49,4.99,3.49
Lithuania,2021-03-19,50-59,8.64,6.39
Lithuania,2021-03-19,60-69,13.1,6.16
Lithuania,2021-03-19,70-79,31.55,3.45
Lithuania,2021-03-19,80+,35.73,11.07
Lithuania,2021-03-26,18-24,2.34,1.49
Lithuania,2021-03-26,25-49,5.58,3.62
Lithuania,2021-03-26,50-59,9.72,6.64
Lithuania,2021-03-26,60-69,17.94,6.74
Lithuania,2021-03-26,70-79,38.66,8.26
Lithuania,2021-03-26,80+,38.28,17.26
Lithuania,2021-04-02,18-24,4.25,1.56
Lithuania,2021-04-02,25-49,6.97,3.71
Lithuania,2021-04-02,50-59,11.72,6.8
Lithuania,2021-04-02,60-69,23.27,7.75
Lithuania,2021-04-02,70-79,45.41,14.25
Lithuania,2021-04-02,80+,40.73,20.86
Lithuania,2021-04-09,18-24,8.02,1.62
Lithuania,2021-04-09,25-49,9.6,3.78
Lithuania,2021-04-09,50-59,15.58,6.97
Lithuania,2021-04-09,60-69,31.03,8.8
Lithuania,2021-04-09,70-79,51.9,16.74
Lithuania,2021-04-09,80+,43.08,21.94
Lithuania,2021-04-16,18-24,9.97,1.68
Lithuania,2021-04-16,25-49,11.92,3.92
Lithuania,2021-04-16,50-59,19.13,7.29
Lithuania,2021-04-16,60-69,37.61,10.45
Lithuania,2021-04-16,70-79,56.94,20.56
Lithuania,2021-04-16,80+,45.59,23.34
Lithuania,2021-04-23,18-24,12.58,1.89
Lithuania,2021-04-23,25-49,14.19,4.39
Lithuania,2021-04-23,50-59,22.42,8.03
Lithuania,2021-04-23,60-69,42.18,13.6
Lithuania,2021-04-23,70-79,59.79,26.6
Lithuania,2021-04-23,80+,47.18,25.63
Lithuania,2021-04-30,18-24,14.27,3.68
Lithuania,2021-04-30,25-49,16.49,5.44
Lithuania,2021-04-30,50-59,26.44,9.89
Lithuania,2021-04-30,60-69,46.44,19.22
Lithuania,2021-04-30,70-79,61.08,32.49
Lithuania,2021-04-30,80+,48.08,27.88
Lithuania,2021-05-07,18-24,16.51,5.56
Lithuania,2021-05-07,25-49,20.72,7.2
Lithuania,2021-05-07,50-59,31.65,12.91
Lithuania,2021-05-07,60-69,50.38,26.21
Lithuania,2021-05-07,70-79,62.44,39.01
Lithuania,2021-05-07,80+,48.94,31.32
Lithuania,2021-05-14,18-24,18.96,7.73
Lithuania,2021-05-14,25-49,24.97,8.88
Lithuania,2021-05-14,50-59,36.92,15.49
Lithuania,2021-05-14,60-69,54.43,30.38
Lithuania,2021-05-14,70-79,63.55,42.84
Lithuania,2021-05-14,80+,49.8,34.22
Lithuania,2021-05-21,18-24,20.88,9.43
Lithuania,2021-05-21,25-49,28.47,11.15
Lithuania,2021-05-21,50-59,41.21,19.31
Lithuania,2021-05-21,60-69,57.03,34.86
Lithuania,2021-05-21,70-79,64.31,46.53
Lithuania,2021-05-21,80+,50.42,38.87
Lithuania,2021-05-28,18-24,23.1,10.77
Lithuania,2021-05-28,25-49,33.18,13.66
Lithuania,2021-05-28,50-59,44.75,22.96
Lithuania,2021-05-28,60-69,59.27,38.57
Lithuania,2021-05-28,70-79,65.08,50.77
Lithuania,2021-05-28,80+,51.03,41.52
Lithuania,2021-06-04,18-24,33.25,13.35
Lithuania,2021-06-04,25-49,39.3,17.15
Lithuania,2021-06-04,50-59,47.07,27.86
Lithuania,2021-06-04,60-69,60.8,43.99
Lithuania,2021-06-04,70-79,65.68,56.57
Lithuania,2021-06-04,80+,51.5,43.73
Lithuania,2021-06-11,18-24,37.97,15.79
Lithuania,2021-06-11,25-49,42.58,21.14
Lithuania,2021-06-11,50-59,48.99,32.94
Lithuania,2021-06-11,60-69,62.11,48.47
Lithuania,2021-06-11,70-79,66.27,59.77
Lithuania,2021-06-11,80+,51.99,44.99
Lithuania,2021-06-18,18-24,39.95,18.78
Lithuania,2021-06-18,25-49,44.23,26.88
Lithuania,2021-06-18,50-59,50.37,37.91
Lithuania,2021-06-18,60-69,63.13,53.02
Lithuania,2021-06-18,70-79,66.77,62.39
Lithuania,2021-06-18,80+,52.37,46.07
Lithuania,2021-06-25,18-24,41.12,27.31
Lithuania,2021-06-25,25-49,45.16,32.89
Lithuania,2021-06-25,50-59,51.05,41.11
Lithuania,2021-06-25,60-69,63.6,55.97
Lithuania,2021-06-25,70-79,67.01,63.57
Lithuania,2021-06-25,80+,52.54,46.68
Lithuania,2021-07-02,18-24,42.67,33.94
Lithuania,2021-07-02,25-49,46.33,37.94
Lithuania,2021-07-02,50-59,52.06,44.66
Lithuania,2021-07-02,60-69,64.37,58.74
Lithuania,2021-07-02,70-79,67.42,64.69
Lithuania,2021-07-02,80+,52.89,47.36
Lithuania,2021-07-09,18-24,43.9,36.63
Lithuania,2021-07-09,25-49,47.47,40.6
Lithuania,2021-07-09,50-59,53.06,46.98
Lithuania,2021-07-09,60-69,65.15,60.48
Lithuania,2021-07-09,70-79,67.83,65.29
Lithuania,2021-07-09,80+,53.18,47.77
Lithuania,2021-07-16,18-24,45.11,38.63
Lithuania,2021-07-16,25-49,48.87,42.71
Lithuania,2021-07-16,50-59,54.39,48.82
Lithuania,2021-07-16,60-69,65.99,61.68
Lithuania,2021-07-16,70-79,68.17,65.66
Lithuania,2021-07-16,80+,53.46,48.05
Lithuania,2021-07-20,18-24,45.98,39.55
Lithuania,2021-07-20,25-49,49.9,43.72
Lithuania,2021-07-20,50-59,55.32,49.67
Lithuania,2021-07-20,60-69,66.58,62.26
Lithuania,2021-07-20,70-79,68.43,65.86
Lithuania,2021-07-20,80+,53.65,48.18
Luxembourg,2021-06-04,18-24,4.1,3.28
Luxembourg,2021-06-04,25-49,28.91,7.83
Luxembourg,2021-06-04,50-59,75.12,44.93
Luxembourg,2021-06-04,60-69,79.78,66.46
Luxembourg,2021-06-04,70-79,83.62,55.23
Luxembourg,2021-06-04,80+,84.45,81.36
Luxembourg,2021-06-11,18-24,4.21,3.61
Luxembourg,2021-06-11,25-49,35.5,10.53
Luxembourg,2021-06-11,50-59,75.95,62.23
Luxembourg,2021-06-11,60-69,80.31,73.06
Luxembourg,2021-06-11,70-79,83.93,81.23
Luxembourg,2021-06-11,80+,84.62,82.49
Luxembourg,2021-06-18,18-24,4.94,4.38
Luxembourg,2021-06-18,25-49,45.22,14.5
Luxembourg,2021-06-18,50-59,76.75,70.36
Luxembourg,2021-06-18,60-69,80.84,76.1
Luxembourg,2021-06-18,70-79,84.24,82.07
Luxembourg,2021-06-18,80+,84.84,82.91
Luxembourg,2021-06-25,18-24,16.3,12.0
Luxembourg,2021-06-25,25-49,56.93,18.51
Luxembourg,2021-06-25,50-59,77.56,71.85
Luxembourg,2021-06-25,60-69,81.46,79.21
Luxembourg,2021-06-25,70-79,84.61,82.66
Luxembourg,2021-06-25,80+,85.18,83.2
Luxembourg,2021-07-02,18-24,33.69,13.47
Luxembourg,2021-07-02,25-49,61.58,29.3
Luxembourg,2021-07-02,50-59,78.02,74.54
Luxembourg,2021-07-02,60-69,81.78,79.69
Luxembourg,2021-07-02,70-79,84.84,82.99
Luxembourg,2021-07-02,80+,85.32,83.33
Luxembourg,2021-07-09,18-24,48.69,13.99
Luxembourg,2021-07-09,25-49,63.16,35.45
Luxembourg,2021-07-09,50-59,78.43,75.78
Luxembourg,2021-07-09,60-69,82.04,80.15
Luxembourg,2021-07-09,70-79,85.04,83.3
Luxembourg,2021-07-09,80+,85.44,83.49
Malta,2021-01-01,18-24,0.01,0.0
Malta,2021-01-01,25-49,0.02,0.0
Malta,2021-01-01,50-59,0.03,0.0
Malta,2021-01-01,60-69,0.0,0.0
Malta,2021-01-01,70-79,0.0,0.0
Malta,2021-01-08,18-24,0.65,0.0
Malta,2021-01-08,25-49,1.2,0.0
Malta,2021-01-08,50-59,1.83,0.0
Malta,2021-01-08,60-69,0.62,0.0
Malta,2021-01-08,70-79,0.34,0.0
Malta,2021-01-08,80+,2.16,0.0
Malta,2021-01-15,18-24,1.31,0.01
Malta,2021-01-15,25-49,2.14,0.02
Malta,2021-01-15,50-59,3.1,0.02
Malta,2021-01-15,60-69,1.11,0.01
Malta,2021-01-15,70-79,0.84,0.0
Malta,2021-01-15,80+,17.23,0.0
Malta,2021-01-22,18-24,2.06,0.14
Malta,2021-01-22,25-49,3.35,0.29
Malta,2021-01-22,50-59,4.68,0.4
Malta,2021-01-22,60-69,1.71,0.13
Malta,2021-01-22,70-79,1.58,0.05
Malta,2021-01-22,80+,30.19,0.38
Malta,2021-01-29,18-24,2.57,0.46
Malta,2021-01-29,25-49,4.39,0.85
Malta,2021-01-29,50-59,6.24,1.38
Malta,2021-01-29,60-69,2.3,0.52
Malta,2021-01-29,70-79,2.23,0.3
Malta,2021-01-29,80+,36.3,1.91
Malta,2021-02-05,18-24,3.06,1.02
Malta,2021-02-05,25-49,5.29,1.67
Malta,2021-02-05,50-59,7.55,2.53
Malta,2021-02-05,60-69,3.01,0.98
Malta,2021-02-05,70-79,2.87,0.73
Malta,2021-02-05,80+,53.7,14.56
Malta,2021-02-12,18-24,3.82,1.64
Malta,2021-02-12,25-49,6.11,2.65
Malta,2021-02-12,50-59,8.47,3.85
Malta,2021-02-12,60-69,3.58,1.51
Malta,2021-02-12,70-79,3.3,1.45
Malta,2021-02-12,80+,68.52,27.37
Malta,2021-02-19,18-24,4.97,2.04
Malta,2021-02-19,25-49,7.29,3.46
Malta,2021-02-19,50-59,10.33,5.21
Malta,2021-02-19,60-69,5.31,2.02
Malta,2021-02-19,70-79,9.93,2.01
Malta,2021-02-19,80+,77.33,33.25
Malta,2021-02-26,18-24,7.63,2.48
Malta,2021-02-26,25-49,10.22,4.29
Malta,2021-02-26,50-59,15.03,6.36
Malta,2021-02-26,60-69,10.2,2.65
Malta,2021-02-26,70-79,15.92,2.58
Malta,2021-02-26,80+,82.04,46.34
Malta,2021-03-05,18-24,8.9,2.72
Malta,2021-03-05,25-49,12.25,4.7
Malta,2021-03-05,50-59,17.02,6.79
Malta,2021-03-05,60-69,16.34,2.95
Malta,2021-03-05,70-79,17.85,2.97
Malta,2021-03-05,80+,84.38,57.26
Malta,2021-03-12,18-24,9.89,3.08
Malta,2021-03-12,25-49,13.7,5.17
Malta,2021-03-12,50-59,18.57,7.62
Malta,2021-03-12,60-69,20.64,4.18
Malta,2021-03-12,70-79,26.64,4.75
Malta,2021-03-12,80+,88.12,65.35
Malta,2021-03-19,18-24,11.24,3.55
Malta,2021-03-19,25-49,15.03,5.67
Malta,2021-03-19,50-59,19.77,8.93
Malta,2021-03-19,60-69,27.68,6.69
Malta,2021-03-19,70-79,36.34,8.09
Malta,2021-03-19,80+,93.64,68.76
Malta,2021-03-26,18-24,12.54,3.73
Malta,2021-03-26,25-49,16.0,6.02
Malta,2021-03-26,50-59,21.96,10.93
Malta,2021-03-26,60-69,37.38,10.24
Malta,2021-03-26,70-79,57.28,12.19
Malta,2021-03-26,80+,95.33,69.39
Malta,2021-04-02,18-24,12.99,4.16
Malta,2021-04-02,25-49,16.6,6.83
Malta,2021-04-02,50-59,22.86,11.61
Malta,2021-04-02,60-69,54.16,11.22
Malta,2021-04-02,70-79,81.78,19.93
Malta,2021-04-02,80+,96.04,76.15
Malta,2021-04-09,18-24,13.76,4.53
Malta,2021-04-09,25-49,17.62,7.33
Malta,2021-04-09,50-59,32.1,12.32
Malta,2021-04-09,60-69,67.93,12.68
Malta,2021-04-09,70-79,88.87,50.08
Malta,2021-04-09,80+,96.81,83.19
Malta,2021-04-16,18-24,14.61,6.23
Malta,2021-04-16,25-49,18.61,8.5
Malta,2021-04-16,50-59,48.9,13.75
Malta,2021-04-16,60-69,74.61,15.94
Malta,2021-04-16,70-79,96.9,56.39
Malta,2021-04-16,80+,97.51,86.6
Malta,2021-04-23,18-24,15.59,8.41
Malta,2021-04-23,25-49,21.06,10.76
Malta,2021-04-23,50-59,62.93,15.29
Malta,2021-04-23,60-69,83.97,22.46
Malta,2021-04-23,70-79,103.39,65.58
Malta,2021-04-23,80+,98.61,87.4
Malta,2021-04-30,18-24,16.92,9.01
Malta,2021-04-30,25-49,27.72,12.25
Malta,2021-04-30,50-59,67.84,17.52
Malta,2021-04-30,60-69,97.73,25.36
Malta,2021-04-30,70-79,105.3,73.38
Malta,2021-04-30,80+,98.92,88.34
Malta,2021-05-07,18-24,18.97,9.65
Malta,2021-05-07,25-49,39.42,13.32
Malta,2021-05-07,50-59,71.94,23.19
Malta,2021-05-07,60-69,98.38,29.21
Malta,2021-05-07,70-79,105.71,82.28
Malta,2021-05-07,80+,99.09,89.24
Malta,2021-05-14,18-24,19.76,11.36
Malta,2021-05-14,25-49,48.93,17.88
Malta,2021-05-14,50-59,74.09,30.75
Malta,2021-05-14,60-69,98.86,35.87
Malta,2021-05-14,70-79,105.93,89.6
Malta,2021-05-14,80+,99.25,90.49
Malta,2021-05-21,18-24,33.32,15.04
Malta,2021-05-21,25-49,53.18,27.05
Malta,2021-05-21,50-59,75.36,39.05
Malta,2021-05-21,60-69,99.18,53.09
Malta,2021-05-21,70-79,106.08,93.82
Malta,2021-05-21,80+,99.41,91.18
Malta,2021-05-28,18-24,40.77,19.0
Malta,2021-05-28,25-49,55.93,37.65
Malta,2021-05-28,50-59,75.94,43.36
Malta,2021-05-28,60-69,99.32,62.75
Malta,2021-05-28,70-79,106.14,94.33
Malta,2021-05-28,80+,99.51,91.49
Malta,2021-06-04,18-24,49.19,22.15
Malta,2021-06-04,25-49,58.34,44.97
Malta,2021-06-04,50-59,76.66,45.7
Malta,2021-06-04,60-69,99.49,70.83
Malta,2021-06-04,70-79,106.22,95.4
Malta,2021-06-04,80+,99.68,91.78
Malta,2021-06-11,18-24,55.67,34.75
Malta,2021-06-11,25-49,62.3,48.95
Malta,2021-06-11,50-59,77.7,47.78
Malta,2021-06-11,60-69,99.67,86.37
Malta,2021-06-11,70-79,106.32,97.9
Malta,2021-06-11,80+,99.81,91.93
Malta,2021-06-18,18-24,59.81,43.46
Malta,2021-06-18,25-49,64.69,52.72
Malta,2021-06-18,50-59,78.39,56.38
Malta,2021-06-18,60-69,99.83,94.8
Malta,2021-06-18,70-79,106.39,99.39
Malta,2021-06-18,80+,99.87,92.08
Malta,2021-06-25,18-24,61.36,55.96
Malta,2021-06-25,25-49,65.33,57.63
Malta,2021-06-25,50-59,78.65,71.79
Malta,2021-06-25,60-69,99.92,96.98
Malta,2021-06-25,70-79,106.45,99.76
Malta,2021-06-25,80+,99.91,92.4
Malta,2021-07-02,18-24,71.52,66.32
Malta,2021-07-02,25-49,66.89,64.41
Malta,2021-07-02,50-59,79.06,84.14
Malta,2021-07-02,60-69,100.0,98.7
Malta,2021-07-02,70-79,106.51,100.04
Malta,2021-07-02,80+,99.98,95.87
Malta,2021-07-09,18-24,83.71,71.5
Malta,2021-07-09,25-49,68.54,68.17
Malta,2021-07-09,50-59,79.66,86.41
Malta,2021-07-09,60-69,100.16,99.14
Malta,2021-07-09,70-79,106.58,100.22
